unique_id,ds,Chronos,Moirai,TimesFM-2.5
hotel_21,2023-07-14,0.9765153,0.9811962,0.9870577
hotel_21,2023-07-15,0.9746939,0.9776362,0.990321
hotel_21,2023-07-16,0.9750456,0.97789717,0.9784734
hotel_21,2023-07-17,0.9756874,0.9818222,0.9786906
hotel_21,2023-07-18,0.97733736,0.98157865,0.98614407
hotel_21,2023-07-19,0.97535336,0.9800991,0.9909219
hotel_21,2023-07-20,0.97692513,0.9825762,0.98735225
hotel_21,2023-07-21,0.9761673,0.9783036,0.98603916
hotel_21,2023-07-22,0.97579247,0.9802216,0.9900998
hotel_21,2023-07-23,0.9735035,0.9776636,0.9779401
hotel_21,2023-07-24,0.9714768,0.9784653,0.9770269
hotel_21,2023-07-25,0.9709179,0.9750391,0.98589236
hotel_21,2023-07-26,0.9713627,0.97758925,0.99116933
hotel_21,2023-07-27,0.9733099,0.9786715,0.9888705
hotel_21,2023-07-28,0.97446793,0.9798218,0.9863046
hotel_35,2023-07-01,0.7211564,0.6794532,0.6796649
hotel_35,2023-07-02,0.7363577,0.672296,0.66831833
hotel_35,2023-07-03,0.7606377,0.697942,0.69380647
hotel_35,2023-07-04,0.7734513,0.698655,0.71222335
hotel_35,2023-07-05,0.77271986,0.71530354,0.7095852
hotel_35,2023-07-06,0.7576904,0.7025889,0.6903208
hotel_35,2023-07-07,0.732293,0.72110736,0.6775125
hotel_35,2023-07-08,0.7154819,0.71364355,0.66965663
hotel_35,2023-07-09,0.720536,0.71856093,0.6564772
hotel_35,2023-07-10,0.7363512,0.69320256,0.6738039
hotel_35,2023-07-11,0.7438709,0.6933475,0.69333553
hotel_35,2023-07-12,0.73395646,0.7184683,0.6916618
hotel_35,2023-07-13,0.71613514,0.723153,0.67956597
hotel_35,2023-07-14,0.6898445,0.71501446,0.6695113
hotel_35,2023-07-15,0.67813194,0.67906404,0.6729858
hotel_35,2023-07-16,0.6906682,0.73810756,0.65528077
hotel_35,2023-07-17,0.71523595,0.72238374,0.67414564
hotel_35,2023-07-18,0.7284671,0.72568953,0.69710827
hotel_35,2023-07-19,0.72864103,0.70453036,0.7035541
hotel_35,2023-07-20,0.7189971,0.6687548,0.6952434
hotel_35,2023-07-21,0.7041706,0.70934415,0.68907434
hotel_35,2023-07-22,0.69922566,0.6908735,0.6872863
hotel_35,2023-07-23,0.7140576,0.67711425,0.6745541
hotel_35,2023-07-24,0.73095715,0.71138024,0.6890357
hotel_35,2023-07-25,0.7489725,0.7238668,0.7011385
hotel_35,2023-07-26,0.7508913,0.6867683,0.69699997
hotel_35,2023-07-27,0.73869824,0.7037918,0.69555414
hotel_35,2023-07-28,0.7161497,0.6751031,0.6858008
hotel_42,2023-07-01,0.70015424,0.795447,0.86679566
hotel_42,2023-07-02,0.6514026,0.66440874,0.46546873
hotel_42,2023-07-03,0.62495625,0.6701271,0.55859894
hotel_42,2023-07-04,0.63499385,0.6768047,0.69773066
hotel_42,2023-07-05,0.634388,0.76782626,0.6940385
hotel_42,2023-07-06,0.6363484,0.7690901,0.6602323
hotel_42,2023-07-07,0.6302272,0.6985573,0.7306367
hotel_42,2023-07-08,0.6309317,0.7342346,0.8327967
hotel_42,2023-07-09,0.597752,0.65764135,0.47137406
hotel_42,2023-07-10,0.5885165,0.6377854,0.57545227
hotel_42,2023-07-11,0.60548055,0.69115794,0.6978277
hotel_42,2023-07-12,0.6203593,0.66192526,0.69395125
hotel_42,2023-07-13,0.6261642,0.8273809,0.6931604
hotel_42,2023-07-14,0.62460774,0.7980381,0.787423
hotel_42,2023-07-15,0.60405946,0.7226703,0.86504126
hotel_42,2023-07-16,0.57678896,0.63992214,0.48160204
hotel_42,2023-07-17,0.57044256,0.7273603,0.59090173
hotel_42,2023-07-18,0.58833677,0.7761562,0.7175734
hotel_42,2023-07-19,0.5829437,0.774786,0.71985614
hotel_42,2023-07-20,0.5782517,0.7582168,0.6923584
hotel_42,2023-07-21,0.57218105,0.81769156,0.75722206
hotel_42,2023-07-22,0.5742079,0.8235669,0.8555813
hotel_42,2023-07-23,0.55693287,0.6565813,0.5172516
hotel_42,2023-07-24,0.54507184,0.7068294,0.6172976
hotel_42,2023-07-25,0.5617394,0.7918267,0.73453295
hotel_42,2023-07-26,0.5860364,0.7635765,0.7283592
hotel_42,2023-07-27,0.610356,0.80667025,0.7331933
hotel_42,2023-07-28,0.636919,0.82723296,0.81732786
hotel_49,2023-07-01,0.65408355,0.6585836,0.7067842
hotel_49,2023-07-02,0.6490504,0.6541846,0.62833565
hotel_49,2023-07-03,0.6479968,0.65798473,0.62431026
hotel_49,2023-07-04,0.64950114,0.6658536,0.6535441
hotel_49,2023-07-05,0.65539026,0.65469456,0.6641247
hotel_49,2023-07-06,0.65885365,0.6584788,0.65898156
hotel_49,2023-07-07,0.6588293,0.65489006,0.70388055
hotel_49,2023-07-08,0.65933466,0.64811003,0.72280324
hotel_49,2023-07-09,0.65709174,0.64048517,0.6427282
hotel_49,2023-07-10,0.6572194,0.64948076,0.6410166
hotel_49,2023-07-11,0.6556833,0.6449769,0.6709403
hotel_49,2023-07-12,0.64985645,0.6423624,0.6705849
hotel_49,2023-07-13,0.6455592,0.63855624,0.6653579
hotel_49,2023-07-14,0.6473291,0.64343816,0.71235573
hotel_49,2023-07-15,0.64936227,0.6331712,0.7309675
hotel_49,2023-07-16,0.6453372,0.6249442,0.645655
hotel_49,2023-07-17,0.647605,0.6354133,0.6439988
hotel_49,2023-07-18,0.65497416,0.63329804,0.6742474
hotel_49,2023-07-19,0.6579809,0.6226223,0.6794001
hotel_49,2023-07-20,0.65558344,0.6179745,0.6719058
hotel_49,2023-07-21,0.6517688,0.6405336,0.7161313
hotel_49,2023-07-22,0.6528113,0.61362344,0.73340505
hotel_49,2023-07-23,0.65783346,0.6130602,0.65513694
hotel_49,2023-07-24,0.6579327,0.6126699,0.65045893
hotel_49,2023-07-25,0.6565386,0.61557114,0.6786927
hotel_49,2023-07-26,0.65533674,0.61917377,0.67845094
hotel_49,2023-07-27,0.6567472,0.6286368,0.6777235
hotel_49,2023-07-28,0.6550328,0.6194433,0.71950746
hotel_56,2023-07-01,0.97541684,0.9928854,0.98722756
hotel_56,2023-07-02,0.9647424,0.99409294,0.92486346
hotel_56,2023-07-03,0.96968687,0.99456954,0.94819415
hotel_56,2023-07-04,0.9805138,0.9930611,0.9795402
hotel_56,2023-07-05,0.98632,0.99530256,0.975458
hotel_56,2023-07-06,0.98544824,0.9938468,0.97478485
hotel_56,2023-07-07,0.9911581,0.99601287,0.99794686
hotel_56,2023-07-08,0.98598146,0.9953088,1.0025213
hotel_56,2023-07-09,0.968067,0.9932739,0.93773866
hotel_56,2023-07-10,0.969875,0.9440931,0.95735097
hotel_56,2023-07-11,0.9799294,0.994343,0.9851606
hotel_56,2023-07-12,0.97761744,0.9965468,0.98220074
hotel_56,2023-07-13,0.9744745,0.99309677,0.979591
hotel_56,2023-07-14,0.97992396,0.9959231,1.0046064
hotel_56,2023-07-15,0.9765297,0.9943588,1.0061805
hotel_56,2023-07-16,0.9583146,0.9955475,0.9427707
hotel_56,2023-07-17,0.9628547,0.99485445,0.96136653
hotel_56,2023-07-18,0.9746923,0.9940367,0.99002814
hotel_56,2023-07-19,0.97900623,0.9741668,0.99071836
hotel_56,2023-07-20,0.97813845,0.9912381,0.98654985
hotel_56,2023-07-21,0.9823221,0.9916806,1.004853
hotel_56,2023-07-22,0.97524416,0.9948318,1.0042523
hotel_56,2023-07-23,0.957677,0.99590796,0.94270957
hotel_56,2023-07-24,0.96058315,0.9546275,0.95990455
hotel_56,2023-07-25,0.97716665,0.99232244,0.98849845
hotel_56,2023-07-26,0.98459435,0.99282146,0.9872807
hotel_56,2023-07-27,0.98227966,0.9937268,0.98799574
hotel_56,2023-07-28,0.9831431,0.99263656,1.0026029
hotel_63,2023-07-01,0.93569994,0.8417746,0.94959056
hotel_63,2023-07-02,0.756392,0.7264448,0.72891676
hotel_63,2023-07-03,0.74362266,0.7281993,0.75096834
hotel_63,2023-07-04,0.796067,0.7658056,0.79973215
hotel_63,2023-07-05,0.84281003,0.783198,0.8213036
hotel_63,2023-07-06,0.8742521,0.8298569,0.8298971
hotel_63,2023-07-07,0.9453183,0.9272136,0.94581574
hotel_63,2023-07-08,0.97689795,0.88019425,0.99088067
hotel_63,2023-07-09,0.7987714,0.77501655,0.76875603
hotel_63,2023-07-10,0.7795443,0.7493129,0.79519963
hotel_63,2023-07-11,0.8369218,0.7622326,0.8386805
hotel_63,2023-07-12,0.8797724,0.80076474,0.8500629
hotel_63,2023-07-13,0.90526223,0.8448681,0.85443443
hotel_63,2023-07-14,0.9668331,0.92722994,0.96031404
hotel_63,2023-07-15,0.9947027,0.8894076,0.98858523
hotel_63,2023-07-16,0.80145174,0.70208687,0.7737227
hotel_63,2023-07-17,0.778694,0.7680506,0.8077413
hotel_63,2023-07-18,0.8234893,0.78742594,0.859309
hotel_63,2023-07-19,0.86418474,0.79107076,0.8777795
hotel_63,2023-07-20,0.8944633,0.8206236,0.87231684
hotel_63,2023-07-21,0.9660587,0.9150516,0.97876793
hotel_63,2023-07-22,0.9903804,0.8827871,1.0114479
hotel_63,2023-07-23,0.7992589,0.75688624,0.7926487
hotel_63,2023-07-24,0.76863366,0.823997,0.8258833
hotel_63,2023-07-25,0.81312495,0.79405576,0.8675934
hotel_63,2023-07-26,0.85549545,0.7656861,0.87186617
hotel_63,2023-07-27,0.8855852,0.8060263,0.8760376
hotel_63,2023-07-28,0.9494851,0.92462665,0.98084193
hotel_7,2023-07-01,0.5672955,0.5666248,0.5339582
hotel_7,2023-07-02,0.51565564,0.4918149,0.5155094
hotel_7,2023-07-03,0.42956415,0.39047953,0.40364763
hotel_7,2023-07-04,0.46535367,0.37442327,0.4159255
hotel_7,2023-07-05,0.55762035,0.49530724,0.54991597
hotel_7,2023-07-06,0.5912411,0.5330735,0.56745756
hotel_7,2023-07-07,0.6076168,0.4619029,0.6253183
hotel_7,2023-07-08,0.5541877,0.4717158,0.5330932
hotel_7,2023-07-09,0.5021071,0.42722818,0.5192449
