unique_id,ds,NBEATS,NHITS
hotel_105,2023-06-15,0.9169206,0.9081438
hotel_105,2023-06-16,0.97781044,0.9781041
hotel_105,2023-06-17,0.9823053,0.9895274
hotel_105,2023-06-18,0.8320754,0.8587322
hotel_105,2023-06-19,0.93254006,0.9212746
hotel_105,2023-06-20,0.9836767,1.007659
hotel_105,2023-06-21,0.9637364,0.97682124
hotel_105,2023-06-22,0.9260054,0.91385823
hotel_105,2023-06-23,0.9662165,0.981124
hotel_105,2023-06-24,0.9674111,0.9784245
hotel_105,2023-06-25,0.8452083,0.871446
hotel_105,2023-06-26,0.90859056,0.93997574
hotel_105,2023-06-27,0.9710024,1.0103598
hotel_105,2023-06-28,0.9605169,0.9616943
hotel_105,2023-06-29,0.91966283,0.90304935
hotel_105,2023-06-30,0.97753346,0.9665859
hotel_105,2023-07-01,0.9949106,0.9846754
hotel_112,2023-06-04,0.78637,0.81459785
hotel_112,2023-06-05,0.84568286,0.8551817
hotel_112,2023-06-06,0.8790599,0.90050185
hotel_112,2023-06-07,0.87244546,0.9176619
hotel_112,2023-06-08,0.8787421,0.90081483
hotel_112,2023-06-09,0.8353961,0.86649936
hotel_112,2023-06-10,0.8304143,0.84614766
hotel_112,2023-06-11,0.8541855,0.8729151
hotel_112,2023-06-12,0.8754362,0.89125764
hotel_112,2023-06-13,0.88558245,0.9304384
hotel_112,2023-06-14,0.8801344,0.9331334
hotel_112,2023-06-15,0.89981365,0.9110704
hotel_112,2023-06-16,0.8422714,0.8716425
hotel_112,2023-06-17,0.85915095,0.86242646
hotel_112,2023-06-18,0.8551427,0.8776247
hotel_112,2023-06-19,0.8808264,0.90103537
hotel_112,2023-06-20,0.8971975,0.91670305
hotel_112,2023-06-21,0.8791982,0.92679244
hotel_112,2023-06-22,0.87451315,0.90760684
hotel_112,2023-06-23,0.8561042,0.86887217
hotel_112,2023-06-24,0.84100825,0.8473605
hotel_112,2023-06-25,0.8497289,0.8737836
hotel_112,2023-06-26,0.8758051,0.89594615
hotel_112,2023-06-27,0.8863758,0.921908
hotel_112,2023-06-28,0.87167543,0.9181948
hotel_112,2023-06-29,0.8655839,0.8995228
hotel_112,2023-06-30,0.8322645,0.8580492
hotel_112,2023-07-01,0.8348947,0.84538317
hotel_126,2023-06-04,0.93301034,0.9338356
hotel_126,2023-06-05,0.951452,0.9458363
hotel_126,2023-06-06,0.96713924,0.9700525
hotel_126,2023-06-07,0.96146446,0.9622459
hotel_126,2023-06-08,0.9435158,0.9493471
hotel_126,2023-06-09,0.962113,0.9692477
hotel_126,2023-06-10,0.9652652,0.96538556
hotel_126,2023-06-11,0.94675225,0.9444728
hotel_126,2023-06-12,0.9435196,0.9430482
hotel_126,2023-06-13,0.96267736,0.9721243
hotel_126,2023-06-14,0.967261,0.95086616
hotel_126,2023-06-15,0.9495816,0.942937
hotel_126,2023-06-16,0.9655895,0.95973116
hotel_126,2023-06-17,0.9643518,0.96051574
hotel_126,2023-06-18,0.9420424,0.94247615
hotel_126,2023-06-19,0.94779414,0.9476304
hotel_126,2023-06-20,0.96106684,0.96313643
hotel_126,2023-06-21,0.9622862,0.96252275
hotel_126,2023-06-22,0.9446628,0.9482802
hotel_126,2023-06-23,0.97013,0.96474963
hotel_126,2023-06-24,0.95517445,0.9571524
hotel_126,2023-06-25,0.94257456,0.94121855
hotel_126,2023-06-26,0.94094944,0.9491466
hotel_126,2023-06-27,0.95975846,0.9705757
hotel_126,2023-06-28,0.9522389,0.95229644
hotel_126,2023-06-29,0.9440743,0.94592345
hotel_126,2023-06-30,0.9640002,0.95295626
hotel_126,2023-07-01,0.96170324,0.9600942
hotel_133,2023-06-04,0.8899212,0.896615
hotel_133,2023-06-05,0.90438306,0.87631345
hotel_133,2023-06-06,0.9540351,0.9224178
hotel_133,2023-06-07,0.9780209,0.9604999
hotel_133,2023-06-08,0.98915637,0.9788954
